park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC
Whiskeytown National Recreation Area,WHIS,UTIL - NEED Camp Water Distribution System,Whiskeytown Environmental School,Community Water System (CWS),CA4510016,municipal,-122.541365,40.580828,"c(-122.541365, 40.580828)",CLEAR CREEK CSD-ANDERSON,CWS,8900,1,2,1,3,5,"<10,000","3,301-50,000",<10K,"3,301-10,000","3,301-10,000"
Whitman Mission National Historic Site,WHMI,UTIL- Potable Water System,whitman mission,Transient Non-Community Water System (TNC),WA53NP980,deep groundwater,-118.46404,46.04375,"c(-118.46404, 46.04375)",WHITMAN MISSION NATIONAL HISTORIC,TNCWS,134,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
White Sands National Monument,WHSA,WATER SYSTEM,NA,Transient Non-Community Water System (TNC),NM3500319,municipal,-106.172262,32.779473,"c(-106.172262, 32.779473)",WHITE SANDS NATIONAL PARK,TNCWS,1397,1,1,1,2,4,"<10,000","<=3,300",<10K,"501-3,300","1,001-3,300"
Wind Cave National Park,WICA,"WICA Primary Water System, U-04 - Elk Mtn Campground Water System, U-09 - Picnic Area Water System",Primary Water System,Non-Transient Non-Community Water System (NTNC),SD4000847,deep groundwater,-103.443192,43.555529,"c(-103.443192, 43.555529)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wind Cave National Park,WICA,"WICA Primary Water System, U-04 - Elk Mtn Campground Water System, U-09 - Picnic Area Water System",Primary Water System,Non-Transient Non-Community Water System (NTNC),SD4000847,deep groundwater,-103.443192,43.551903,"c(-103.443192, 43.551903)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
President William Jefferson Clinton Birthplace Home National Historic Site,WICL,Hope Water & Light Commission,Hope Water & Light Commission,Community Water System (CWS),AR0000230,municipal,-93.596225,33.667637,"c(-93.596225, 33.667637)",HOPE WATER LIGHT COMM,CWS,11500,2,2,2,4,6,"10,000+","3,301-50,000","10K-49,999","10,001-100,000","10,001-50,000"
Wilson's Creek National Battlefield,WICR,Main Park Water System,WICR Main Water System,Non-Transient Non-Community Water System (NTNC),MO5102181,deep groundwater,-93.42209,37.11618,"c(-93.42209, 37.11618)",WILSON CREEK BATTLEFIELD  MONUMENT,NTNCWS,100,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Wilson's Creek National Battlefield,WICR,Mcelhany Well,McElhaney Residence,Non-Public Water System (NP),NA,unknown groundwater,-93.400257,37.103532,"c(-93.400257, 37.103532)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Wilson's Creek National Battlefield,WICR,Sweeney  House Well,Ranger House and Future Museum Offices,Non-Public Water System (NP),NA,unknown groundwater,-93.42209,37.11618,"c(-93.42209, 37.11618)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Wilson's Creek National Battlefield,WICR,Sweeney Museum Well,Civil War Museum Well,Non-Public Water System (NP),NA,unknown groundwater,-93.42209,37.11618,"c(-93.42209, 37.11618)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
William Howard Taft National Historic Site,WIHO,Greater Cincinnati Water Works (GCWW),NA,Community Water System (CWS),OH3101212,municipal,-84.508306,39.119684,"c(-84.508306, 39.119684)",LOCKLAND VILLAGE PWS,CWS,3486,1,2,1,3,5,"<10,000","3,301-50,000",<10K,"3,301-10,000","3,301-10,000"
Women's Rights National Historical Park,WORI,Municipal Water Service Connection,NA,Transient Non-Community Water System (TNC),NY4940015,municipal,-76.861761,42.907531,"c(-76.861761, 42.907531)",TOWN OF WATERLOO WATER DISTRICT,CWS,250,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
